restaurant_id,location_id,name,num_tables,num_employees
1,1,Restaurant_1,28,16
2,2,Restaurant_2,11,13
3,3,Restaurant_3,22,11
4,4,Restaurant_4,20,10
5,5,Restaurant_5,19,18
6,6,Restaurant_6,27,13
7,7,Restaurant_7,27,17
8,8,Restaurant_8,16,14
9,9,Restaurant_9,21,10
10,10,Restaurant_10,17,15
11,11,Restaurant_11,20,17
12,12,Restaurant_12,21,16
13,13,Restaurant_13,22,20
14,14,Restaurant_14,19,18
15,15,Restaurant_15,12,17
16,16,Restaurant_16,14,12
17,17,Restaurant_17,22,12
18,18,Restaurant_18,20,11
19,19,Restaurant_19,30,12
20,20,Restaurant_20,30,20
