restaurant_id,location_id,name,num_tables,num_employees
1,3,Restaurant_1,13,18
2,9,Restaurant_2,28,17
3,3,Restaurant_3,22,11
4,7,Restaurant_4,29,11
5,4,Restaurant_5,26,12
6,9,Restaurant_6,18,20
7,4,Restaurant_7,24,15
8,1,Restaurant_8,11,19
9,2,Restaurant_9,16,13
10,9,Restaurant_10,19,13
11,7,Restaurant_11,29,10
12,2,Restaurant_12,29,20
13,5,Restaurant_13,11,11
14,10,Restaurant_14,20,10
15,6,Restaurant_15,23,17
16,10,Restaurant_16,21,18
17,9,Restaurant_17,29,14
18,8,Restaurant_18,27,17
19,2,Restaurant_19,24,17
20,3,Restaurant_20,28,16
21,10,Restaurant_21,25,16
22,3,Restaurant_22,10,12
23,3,Restaurant_23,29,16
24,7,Restaurant_24,26,20
25,2,Restaurant_25,11,15
26,6,Restaurant_26,13,20
27,4,Restaurant_27,12,15
28,3,Restaurant_28,26,12
29,5,Restaurant_29,13,19
30,8,Restaurant_30,19,15
31,4,Restaurant_31,28,17
32,1,Restaurant_32,19,17
33,3,Restaurant_33,16,10
34,3,Restaurant_34,16,18
35,8,Restaurant_35,13,20
36,7,Restaurant_36,16,12
37,1,Restaurant_37,19,10
38,8,Restaurant_38,23,17
39,2,Restaurant_39,16,16
40,9,Restaurant_40,11,20
